"Fungsi";"Millis";"CPU";"Mem";"USS"
"DB Fetch Before";"1641439068374";"0.0";"149.26953125";"178.19140625"
"DB Fetch After";"1641439079516";"0.85";"152.29296875";"180.83984375"
"Decrypt Image Before";"1641439079656";"25.0";"152.29296875";"180.83984375"
"Decrypt Image After";"1641439079920";"25.525";"152.29296875";"180.859375"
"Encode Image Before0";"1641439080057";"23.7";"152.29296875";"180.859375"
"Encode Image After0";"1641439104435";"24.975";"224.5546875";"247.08984375"
"Decrypt Image Before";"1641439104576";"24.9";"225.015625";"247.08984375"
"Decrypt Image After";"1641439104846";"25.025";"225.015625";"247.13671875"
"Encode Image Before1";"1641439104989";"24.425";"225.015625";"247.13671875"
"Encode Image After1";"1641439129210";"25.0";"225.30859375";"247.421875"
"Decrypt Image Before";"1641439129355";"24.15";"225.30859375";"247.421875"
"Decrypt Image After";"1641439129622";"25.25";"225.30859375";"247.421875"
"Encode Image Before2";"1641439129764";"24.775";"225.30859375";"247.421875"
"Encode Image After2";"1641439154060";"25.025";"224.9765625";"247.08984375"
"Decrypt Image Before";"1641439154208";"23.775";"224.9765625";"247.08984375"
"Decrypt Image After";"1641439154479";"24.875";"224.9765625";"246.7890625"
"Encode Image Before3";"1641439154622";"26.2";"225.27734375";"247.34375"
"Encode Image After3";"1641439177037";"25.025";"225.3125";"247.42578125"
"Decrypt Image Before";"1641439177185";"23.65";"225.3125";"247.42578125"
"Decrypt Image After";"1641439177485";"24.95";"225.3125";"247.8515625"
"Encode Image Before4";"1641439177634";"25.2";"225.77734375";"247.8515625"
"Encode Image After4";"1641439208082";"25.025";"225.77734375";"247.91015625"
"Decrypt Image Before";"1641439208401";"25.05";"225.77734375";"247.91015625"
"Decrypt Image After";"1641439209090";"25.025";"225.77734375";"247.91015625"
"Encode Image Before5";"1641439209409";"24.35";"225.77734375";"247.91015625"
"Encode Image After5";"1641439236023";"25.025";"225.046875";"246.8828125"
"Decrypt Image Before";"1641439236171";"23.65";"225.4375";"247.51953125"
"Decrypt Image After";"1641439236829";"25.075";"225.4375";"247.5703125"
"Encode Image Before6";"1641439237149";"24.975";"225.4375";"247.5703125"
"Encode Image After6";"1641439260872";"25.05";"224.93359375";"247.50390625"
"Decrypt Image Before";"1641439261015";"24.5";"225.35546875";"247.50390625"
"Decrypt Image After";"1641439261311";"24.5";"225.35546875";"247.50390625"
"Encode Image Before7";"1641439261457";"25.7";"225.35546875";"247.50390625"
"Encode Image After7";"1641439281961";"25.025";"225.03515625";"246.87890625"
"Encrypt Pickle Before";"1641439282113";"24.675";"225.4296875";"247.56640625"
"Encrypt Pickle After";"1641439282276";"24.675";"225.4296875";"247.56640625"
"Decrypt Pickle Before";"1641439282423";"25.45";"213.31640625";"236.078125"
"Decrypt Pickle After";"1641439282584";"24.825";"213.875";"236.078125"
"Face Recognition Before";"1641439282872";"25.125";"229.3046875";"251.484375"
"Face Recognition After";"1641439310876";"27.425";"254.6171875";"262.40625"
